kernel_id,workload,kernel,suite,n_configs,auto_time_s,min_time_s,max_time_s,auto_energy_j,min_energy_j,max_energy_j
correlation::corrkernel,correlation,corr_kernel,PolyBench,25,1.3515047500000001,1.34095475,13.652643,243.6535,160.82566666666665,805.811
covariance::covarkernel,covariance,covar_kernel,PolyBench,25,1.34881175,1.3416267499999999,13.674357,242.98775,165.975,817.257
myocyte::solver2,myocyte,solver_2,Rodinia,26,0.44389266666666666,0.43832925,3.389478,62.70525,25.2945,286.8575
particlefilter::findindex,particlefilter,find_index,Rodinia,26,0.02880391379310345,0.02858433142857143,0.23247036363636364,5.4253620689655175,2.295145038167939,21.0305
syr2k::syr2kkernel,syr2k,syr2k_kernel,PolyBench,26,0.015537757763975157,0.015238386018237083,0.12447324390243904,3.970515527950311,1.6814193548387097,12.052785714285713
syrk::syrkkernel,syrk,syrk_kernel,PolyBench,25,0.007959238473767885,0.0078198734375,0.06375720253164557,1.987608903020668,0.8323840579710144,6.016333333333333
particlefilter::normalizeweights,particlefilter,normalize_weights,Rodinia,25,0.0073510939794419975,0.0073381348973607045,0.053493010638297867,1.0182613803230545,0.4097363813229572,4.504928571428572
particlefilter::likelihood,particlefilter,likelihood,Rodinia,25,0.0062099764267990075,0.006179703703703704,0.05624652808988764,1.2250111662531018,0.7786759410801963,4.756821782178219
kmeans::kmeanspoint,kmeans,kmeansPoint,Rodinia,25,0.002374225546058879,0.002366575485092285,0.05615587777777778,0.794764482431149,0.5682388724035607,2.3881985278348004
2mm::mm2kernel1,2mm,mm2_kernel1,PolyBench,25,0.002134778062313273,0.002084351813255523,0.01608187781350482,0.696625693555271,0.3800435164738397,1.6847968253968253
2mm::mm2kernel2,2mm,mm2_kernel2,PolyBench,26,0.0020326191056910573,0.002008964242667738,0.015947646496815286,0.6744752032520326,0.3146310788149805,1.623639498432602
gesummv::gesummvkernel,gesummv,gesummv_kernel,PolyBench,26,0.001413187623622492,0.0013842117353999445,0.011399658314350797,0.3032195535461995,0.18808311973636033,1.0869868995633187
atax::ataxkernel1,atax,atax_kernel1,PolyBench,26,0.0012237679882525696,0.0012000551955843532,0.010006563999999999,0.29698164464023497,0.1351412213740458,0.9760711462450593
atax::ataxkernel2,atax,atax_kernel2,PolyBench,26,0.0012162487840466929,0.0012129010429299055,0.012807473145780053,0.2417205739299611,0.16227176966292134,0.5261826625386997
bicg::bicgkernel1,bicg,bicg_kernel1,PolyBench,26,0.0011971323916686615,0.0011864265717674968,0.01263275,0.21975987550873838,0.1524124741557547,0.4987037037037037
gemver::gemverkernel2,gemver,gemver_kernel2,PolyBench,26,0.0011949811230585422,0.0011945446727185856,0.012674569620253165,0.21201003584229391,0.1522628294036061,0.4995656670113754
mvt::kernel2,mvt,kernel2,PolyBench,26,0.001182297635933806,0.0011815905009451796,0.012573399497487436,0.2146075650118204,0.15145298558682224,0.5065503080082137
gramschmidt::kernel3,gramschmidt,kernel3,PolyBench,25,0.0011533431734317343,0.001147033027522936,0.012141434466019415,0.17733694649446494,0.1373927855711423,0.4290988258317025
gemver::gemverkernel3,gemver,gemver_kernel3,PolyBench,26,0.0006776776904310111,0.0006752267386900743,0.005556060000000001,0.14211371645432366,0.09159348137535817,0.5514734561213435
lavamd::kernelgpucuda,lavamd,kernel_gpu_cuda,Rodinia,25,0.0006408376265538895,0.0006159494450830492,0.0045505040946314836,0.21795347943098806,0.11961980694849496,0.4735058823529412
bicg::bicgkernel2,bicg,bicg_kernel2,PolyBench,25,0.0006395367694078527,0.000638950677229747,0.00517866149068323,0.13400882465788463,0.08816339315949881,0.520444214876033
correlation::stdkernel,correlation,std_kernel,PolyBench,26,0.0006044744922630561,0.0006044744922630561,0.006348639593908629,0.09923972437137331,0.07203758084251005,0.2185246659815005
covariance::meankernel,covariance,mean_kernel,PolyBench,25,0.0006037243419463898,0.0006023283546133461,0.006320335858585858,0.10434581019077516,0.07262313562261534,0.2226087162401924
correlation::meankernel,correlation,mean_kernel,PolyBench,26,0.0006022942664418213,0.0006022942664418213,0.00632590391908976,0.1045072271741749,0.07191169326856349,0.2236179487179487
mvt::kernel1,mvt,kernel1,PolyBench,26,0.000460322592524397,0.0004589963282540847,0.003954026877470356,0.11179534155772415,0.06739748515543137,0.2512725968436155
streamcluster::computecost,streamcluster,compute_cost,Rodinia,26,0.0003867962404270132,0.0003867644647277228,0.009237747232472325,0.12662682757020188,0.07674753867791843,0.5065656401944895
3mm::mm3kernel1,3mm,mm3_kernel1,PolyBench,25,0.000329816160949868,0.00032536447953094747,0.00263651344227728,0.11227612137203168,0.04780910076377445,0.2533819548872181
3mm::mm3kernel3,3mm,mm3_kernel3,PolyBench,26,0.0003288522854324235,0.0003251552867733125,0.002598864864864865,0.11316270963498848,0.0484911281628457,0.2540431293881645
3mm::mm3kernel2,3mm,mm3_kernel2,PolyBench,26,0.00032755302980674736,0.0003243106758334414,0.002596470924195223,0.11224828037995414,0.04761098894836864,0.25335707121364087
gemm::gemmkernel,gemm,gemm_kernel,PolyBench,25,0.0003255344401041666,0.00032202972306713464,0.002602159729448491,0.10393723958333334,0.04256060699340425,0.25078886659979943
gemver::gemverkernel1,gemver,gemver_kernel1,PolyBench,26,0.0001792517209235623,0.0001792517209235623,0.004940346495557749,0.06094808547253693,0.04098888087738606,0.2624868651488616
2dconv::convolution2dkernel,2dconv,convolution2D_kernel,PolyBench,26,0.0001732624922032019,0.0001730067125704993,0.005389858836206896,0.059522142906646335,0.048053244653487176,0.28333260297984225
nn::euclid,nn,euclid,Rodinia,26,0.0001508754978877489,0.0001503667037560521,0.004590424770642202,0.051165992757996374,0.03282097077941802,0.22132917316692668
sradv1::srad2,srad_v1,srad2,Rodinia,26,0.0001452390856014175,0.0001447666116563884,0.0045224936708860766,0.050057716327301244,0.03328514734192211,0.229242840329541
sradv1::srad,srad_v1,srad,Rodinia,26,0.000131279491690078,0.00013067895039464738,0.003837844205679202,0.045718827946543444,0.032439552612836,0.21294032485875708
sradv1::reduce,srad_v1,reduce,Rodinia,26,0.0001156414265229659,0.0001150117311496526,0.0012610892812105927,0.03602729080901059,0.021603106411103766,0.09069938016528925
fdtd2d::step3,fdtd2d,step3,PolyBench,26,8.673499054590871e-05,8.63087240212663e-05,0.0026221583639223912,0.029282460492306622,0.018414661249435704,0.13826362823949956
gramschmidt::kernel1,gramschmidt,kernel1,PolyBench,25,7.96207363291824e-05,7.84276437556859e-05,0.0004853673073189671,0.012213621452912512,0.004544672370057647,0.03805326254495633
fdtd2d::step1,fdtd2d,step1,PolyBench,26,6.77983972664036e-05,6.71901875940657e-05,0.001943003108003108,0.02285225562380507,0.013937957248538847,0.09742854790912084
fdtd2d::step2,fdtd2d,step2,PolyBench,26,6.7651138562286e-05,6.71231574708014e-05,0.0019634534746760897,0.02277645482958773,0.013966866316595558,0.09514240975770562
sradv1::prepare,srad_v1,prepare,Rodinia,25,6.76408279220779e-05,6.76079290388879e-05,0.001956263302034429,0.022657237554112555,0.01395758335073432,0.09614797317850318
preeuler3d::computeflux,pre_euler3d,compute_flux,Rodinia,26,5.12522730301259e-05,5.09817996431302e-05,0.0006392715418051649,0.01742720665867134,0.01151676852193648,0.04035929054940442
sradv1::compress,srad_v1,compress,Rodinia,26,4.6821013203483396e-05,4.62266116879154e-05,0.001262628282828283,0.014976018353778445,0.009242279557137209,0.05945105629908196
sradv1::extract,srad_v1,extract,Rodinia,26,4.67676313229571e-05,4.67676313229571e-05,0.0012633345123799899,0.014500636037114637,0.009102608936174416,0.05884140676841407
correlation::reducekernel,correlation,reduce_kernel,PolyBench,26,4.63599376923932e-05,4.63599376923932e-05,0.0012251161195492406,0.016078542817935693,0.010525520612413904,0.061723223167900965
covariance::reducekernel,covariance,reduce_kernel,PolyBench,26,4.62931264350788e-05,4.62475905063174e-05,0.0012601660786290324,0.015581790237760164,0.009774817177532286,0.06087821080602303
hotspot3d::hotspotopt1,hotspot3d,hotspotOpt1,Rodinia,26,3.8272821910258496e-05,3.82061740658668e-05,0.0009874658372827803,0.013520491113118292,0.008338127886720684,0.047886125764045884
euler3d::computeflux,euler3d,compute_flux,Rodinia,26,2.56531047822317e-05,2.5022219664403e-05,0.00037486063423045204,0.008836436490875229,0.005609615600764303,0.02182272630522699
doitgen::kernel1,doitgen,kernel1,PolyBench,25,2.4243535475487398e-05,2.40853681447048e-05,0.00012885946600690678,0.004764261228368752,0.0019129545328116229,0.010758020501295665
pathfinder::dynproc,pathfinder,dynproc,Rodinia,26,1.9638456734602498e-05,1.91745454684905e-05,0.00032904540668597,0.006037481883559895,0.003901723146913867,0.017809186116098143
jacobi2d::kernel1,jacobi2d,kernel1,PolyBench,26,1.69041370986554e-05,1.5961160182722997e-05,0.0003400783513568659,0.005460503673251359,0.003202156754136952,0.01672166893222737
jacobi2d::kernel2,jacobi2d,kernel2,PolyBench,26,1.64680881897647e-05,1.57224276613273e-05,0.0003326201689616178,0.004615767181128919,0.002975204820624668,0.015885043434820015
particlefilter::sum,particlefilter,sum,Rodinia,25,1.17943472199616e-05,1.17533379406316e-05,6.141370246634561e-05,0.001647441930682443,0.0006342179507808969,0.005068305661736514
preeuler3d::computefluxcontributions,pre_euler3d,compute_flux_contributions,Rodinia,25,1.09878013673192e-05,1.0626490097189699e-05,0.0001264047426433411,0.002609109748138121,0.001680609121253524,0.006175771520267111
hotspot::calculatetemp,hotspot,calculate_temp,Rodinia,26,9.278703583424501e-06,9.2617267165193e-06,4.2054072921485305e-05,0.0024721231465845194,0.0010450888065289443,0.003949198208886678
nw::shared1,nw,shared_1,Rodinia,25,8.8833896835563e-06,8.5231915531948e-06,3.59659619769675e-05,0.001458549273428575,0.0005668238680529372,0.003006128159020533
euler3d::timestep,euler3d,time_step,Rodinia,26,8.8314572408104e-06,8.4150868772005e-06,6.595861805134149e-05,0.002095693965829387,0.0012193404798655659,0.003425588544663145
nw::shared2,nw,shared_2,Rodinia,25,8.4325397762344e-06,8.4325397762344e-06,3.55423591464194e-05,0.0014027999365873896,0.0005626585669110832,0.0030181807414426153
preeuler3d::timestep,pre_euler3d,time_step,Rodinia,26,8.055534790201901e-06,8.055534790201901e-06,6.14508517071012e-05,0.0019303712630418953,0.0011371200887678422,0.003189602225714556
preeuler3d::computestepfactor,pre_euler3d,compute_step_factor,Rodinia,26,7.2640945028315e-06,7.2640945028315e-06,2.59952792667266e-05,0.001515242954564605,0.0005934662734510904,0.0023016979337610022
euler3d::computestepfactor,euler3d,compute_step_factor,Rodinia,25,7.2604597604343e-06,7.2535669365473e-06,2.64439337846414e-05,0.0014915873221009405,0.0005964294982361437,0.002307518075672134
gramschmidt::kernel2,gramschmidt,kernel2,PolyBench,25,6.8690622239501e-06,5.94256514236e-06,1.64406689376701e-05,0.0007647887149798805,0.0003331751224312463,0.0012533859221939203
jacobi1d::kernel2,jacobi1d,kernel2,PolyBench,25,6.3036988755488e-06,5.540216932430499e-06,1.29090611009847e-05,0.0006731565192066941,0.0002833076768521066,0.0009189421745943992
doitgen::kernel2,doitgen,kernel2,PolyBench,26,6.2991934528833005e-06,5.4546950121256994e-06,1.3348913266927e-05,0.0006842749768820062,0.00028775667410341487,0.0009432584984934008
jacobi1d::kernel1,jacobi1d,kernel1,PolyBench,25,5.8807652047093e-06,5.6106136995339e-06,1.29613286880061e-05,0.0006770520917869282,0.0002836873153819521,0.000955591440400662
