group,group_start_ms,group_end_ms,group_runtime_ms,group_selected_time_ms,group_selected_energy_mJ,clock_label,clock_key,node,workload_idx,workload,kernel,kernel_id,kernel_start_ms,kernel_end_ms,kernel_auto_time_ms,kernel_auto_energy_mJ,kernel_pref_core,kernel_pref_mem,kernel_pref_pair
1,0.0,444.0138468679311,444.0138468679311,456.0385885152664,32119.835602855415,1890/810,1890/810,25,7,gramschmidt,kernel1,gramschmidt::kernel1,0.0,0.0796207363291824,0.0796207363291824,12.2136214529125,1890,810,1890/810
1,0.0,444.0138468679311,444.0138468679311,456.0385885152664,32119.835602855415,1890/810,1890/810,47,16,doitgen,kernel1,doitgen::kernel1,0.0796207363291824,0.10386427180466981,0.024243535475487403,4.7642612283687,1890,810,1890/810
1,0.0,444.0138468679311,444.0138468679311,456.0385885152664,32119.835602855415,1890/810,1890/810,49,17,nw,shared_1,nw::shared1,0.10386427180466981,0.11274766148822611,0.0088833896835563,1.4585492734285002,1890,810,1890/810
1,0.0,444.0138468679311,444.0138468679311,456.0385885152664,32119.835602855415,1890/810,1890/810,50,17,nw,shared_2,nw::shared2,0.11274766148822611,0.12118020126446051,0.0084325397762344,1.4027999365873,1890,810,1890/810
1,0.0,444.0138468679311,444.0138468679311,456.0385885152664,32119.835602855415,1890/810,1890/810,53,19,myocyte,solver_2,myocyte::solver2,0.12118020126446051,444.0138468679311,443.8926666666666,62705.25,1890,810,1890/810
2,444.0138468679311,459.5516046319062,15.5377577639751,15.722866381774809,2388.9198606100035,1890/810,1890/810,54,20,syr2k,syr2k_kernel,syr2k::syr2kkernel,444.0138468679311,459.5516046319062,15.5377577639751,3970.515527950311,1890,810,1890/810
3,459.5516046319062,465.7615810587052,6.209976426799,6.464649870801034,957.4870801033592,1890/5001,1890/5001,11,3,particlefilter,likelihood,particlefilter::likelihood,459.5516046319062,465.7615810587052,6.209976426799,1225.0111662531017,1890,5001,1890/5001
4,465.7615810587052,473.12446938536704,7.362888326661862,7.5993702773812055,508.61330693889886,1890/810,1890/810,12,3,particlefilter,sum,particlefilter::sum,465.7615810587052,465.77337540592515,0.0117943472199616,1.6474419306824,1890,810,1890/810
4,465.7615810587052,473.12446938536704,7.362888326661862,7.5993702773812055,508.61330693889886,1890/810,1890/810,13,3,particlefilter,normalize_weights,particlefilter::normalizeweights,465.77337540592515,473.12446938536704,7.351093979441901,1018.2613803230545,1890,810,1890/810
5,473.12446938536704,501.9283831784704,28.803913793103398,29.71925443786982,3137.1686390532545,1890/810,1890/810,14,3,particlefilter,find_index,particlefilter::findindex,473.12446938536704,501.9283831784704,28.803913793103398,5425.362068965517,1890,810,1890/810
6,501.9283831784704,509.88762165223824,7.9592384737678,8.071770967741935,1188.923387096774,1890/810,1890/810,55,21,syrk,syrk_kernel,syrk::syrkkernel,501.9283831784704,509.88762165223824,7.9592384737678,1987.608903020668,1890,810,1890/810
7,509.88762165223824,510.8883676826904,1.0007460304521658,1.288760505055517,145.10111364667603,1470/810,1470/810,15,4,pre_euler3d,compute_step_factor,preeuler3d::computestepfactor,509.88762165223824,509.89488574674107,0.0072640945028315,1.5152429545646,1470,810,1470/810
