workload,kernel,requested_core_clock,requested_mem_clock,requested_pair,is_auto_baseline,applied_core_clock,applied_mem_clock,n,measured_launches_mean,measured_launches_std,total_time_mean_ms,total_time_std_ms,total_energy_mean_mJ,total_energy_std_mJ,avg_power_mean_W,avg_power_std_W,time_per_launch_mean_ms,time_per_launch_std_ms,energy_per_launch_mean_mJ,energy_per_launch_std_mJ,effective_core_clock,effective_mem_clock,num_requested_pairs_merged,requested_pairs_merged,requested_core_clock_original,requested_mem_clock_original
2dconv,convolution2D_kernel,auto,auto,auto/auto,1,255,5001,1,28858.0,0.0,5000.009,0.0,1717690.0,0.0,343.537396,0.0,0.1732624922032019,0.0,59.52214290664634,0.0,,,1,auto/auto,auto,auto
2mm,mm2_kernel1,auto,auto,auto/auto,1,240,5001,1,2343.0,0.0,5001.785,0.0,1632194.0,0.0,326.322293,0.0,2.134778062313273,0.0,696.625693555271,0.0,,,1,auto/auto,auto,auto
2mm,mm2_kernel2,auto,auto,auto/auto,1,255,405,1,2460.0,0.0,5000.243,0.0,1659209.0,0.0,331.825662,0.0,2.032619105691057,0.0,674.4752032520325,0.0,,,1,auto/auto,auto,auto
3mm,mm3_kernel1,auto,auto,auto/auto,1,240,5001,1,15160.0,0.0,5000.013,0.0,1702106.0,0.0,340.420336,0.0,0.329816160949868,0.0,112.27612137203168,0.0,,,1,auto/auto,auto,auto
3mm,mm3_kernel2,auto,auto,auto/auto,1,270,405,1,15265.0,0.0,5000.097,0.0,1713470.0,0.0,342.68734,0.0,0.3275530298067474,0.0,112.24828037995414,0.0,,,1,auto/auto,auto,auto
3mm,mm3_kernel3,auto,auto,auto/auto,1,255,405,1,15205.0,0.0,5000.199,0.0,1720639.0,0.0,344.114123,0.0,0.3288522854324235,0.0,113.16270963498847,0.0,,,1,auto/auto,auto,auto
atax,atax_kernel1,auto,auto,auto/auto,1,315,810,1,4086.0,0.0,5000.316,0.0,1213467.0,0.0,242.678067,0.0,1.2237679882525696,0.0,296.98164464023495,0.0,,,1,auto/auto,auto,auto
atax,atax_kernel2,auto,auto,auto/auto,1,255,810,1,4112.0,0.0,5001.215,0.0,993955.0,0.0,198.742712,0.0,1.216248784046693,0.0,241.7205739299611,0.0,,,1,auto/auto,auto,auto
bicg,bicg_kernel1,auto,auto,auto/auto,1,240,5001,1,4177.0,0.0,5000.422,0.0,917937.0,0.0,183.571893,0.0,1.1971323916686616,0.0,219.75987550873836,0.0,,,1,auto/auto,auto,auto
bicg,bicg_kernel2,auto,auto,auto/auto,1,255,810,1,7819.0,0.0,5000.538,0.0,1047815.0,0.0,209.54045,0.0,0.6395367694078526,0.0,134.00882465788465,0.0,,,1,auto/auto,auto,auto
correlation,corr_kernel,auto,auto,auto/auto,1,255,5001,1,4.0,0.0,5406.019,0.0,974614.0,0.0,180.28314,0.0,1351.50475,0.0,243653.5,0.0,,,1,auto/auto,auto,auto
correlation,mean_kernel,auto,auto,auto/auto,1,240,5001,1,8302.0,0.0,5000.247,0.0,867619.0,0.0,173.515226,0.0,0.6022942664418213,0.0,104.5072271741749,0.0,,,1,auto/auto,auto,auto
correlation,reduce_kernel,auto,auto,auto/auto,1,255,810,1,107852.0,0.0,5000.012,0.0,1734103.0,0.0,346.819753,0.0,0.0463599376923932,0.0,16.07854281793569,0.0,,,1,auto/auto,auto,auto
correlation,std_kernel,auto,auto,auto/auto,1,255,810,1,8272.0,0.0,5000.213,0.0,820911.0,0.0,164.175194,0.0,0.604474492263056,0.0,99.23972437137331,0.0,,,1,auto/auto,auto,auto
covariance,covar_kernel,auto,auto,auto/auto,1,300,810,1,4.0,0.0,5395.247,0.0,971951.0,0.0,180.149488,0.0,1348.81175,0.0,242987.75,0.0,,,1,auto/auto,auto,auto
covariance,mean_kernel,auto,auto,auto/auto,1,240,5001,1,8282.0,0.0,5000.045,0.0,864192.0,0.0,172.836847,0.0,0.6037243419463898,0.0,104.34581019077515,0.0,,,1,auto/auto,auto,auto
covariance,reduce_kernel,auto,auto,auto/auto,1,255,810,1,108008.0,0.0,5000.028,0.0,1682958.0,0.0,336.589726,0.0,0.0462931264350788,0.0,15.581790237760163,0.0,,,1,auto/auto,auto,auto
doitgen,kernel1,auto,auto,auto/auto,1,255,810,1,206241.0,0.0,5000.011,0.0,982586.0,0.0,196.516778,0.0,0.0242435354754874,0.0,4.764261228368753,0.0,,,1,auto/auto,auto,auto
doitgen,kernel2,auto,auto,auto/auto,1,240,405,1,793754.0,0.0,5000.01,0.0,543146.0,0.0,108.628988,0.0,0.0062991934528833,0.0,0.6842749768820062,0.0,,,1,auto/auto,auto,auto
fdtd2d,step1,auto,auto,auto/auto,1,210,810,1,73749.0,0.0,5000.064,0.0,1685331.0,0.0,337.061888,0.0,0.0677983972664036,0.0,22.852255623805068,0.0,,,1,auto/auto,auto,auto
fdtd2d,step2,auto,auto,auto/auto,1,210,810,1,73909.0,0.0,5000.028,0.0,1683385.0,0.0,336.675093,0.0,0.067651138562286,0.0,22.77645482958773,0.0,,,1,auto/auto,auto,auto
fdtd2d,step3,auto,auto,auto/auto,1,210,405,1,57647.0,0.0,5000.012,0.0,1688046.0,0.0,337.608376,0.0,0.0867349905459087,0.0,29.282460492306623,0.0,,,1,auto/auto,auto,auto
gemm,gemm_kernel,auto,auto,auto/auto,1,240,810,1,15360.0,0.0,5000.209,0.0,1596476.0,0.0,319.281824,0.0,0.3255344401041666,0.0,103.93723958333334,0.0,,,1,auto/auto,auto,auto
gemver,gemver_kernel1,auto,auto,auto/auto,1,255,5001,1,27892.0,0.0,4999.689,0.0,1699964.0,0.0,340.013951,0.0,0.1792517209235623,0.0,60.94808547253693,0.0,,,1,auto/auto,auto,auto
gemver,gemver_kernel2,auto,auto,auto/auto,1,255,810,1,4185.0,0.0,5000.996,0.0,887262.0,0.0,177.417073,0.0,1.1949811230585423,0.0,212.01003584229392,0.0,,,1,auto/auto,auto,auto
