workload,kernel,kernel_id,requested_core_clock,requested_mem_clock,effective_core_clock,effective_mem_clock,time_per_launch_mean_ms,energy_per_launch_mean_mJ,auto_time_per_launch_mean_ms,auto_energy_per_launch_mean_mJ,actual_time_ratio,actual_energy_ratio,is_virtual_auto,global_limit,allowed_total_time_ms,auto_total_time_ms,solver_objective_energy_mJ,constraint_name,constraint_limit,selected_actual_energy_saving_pct
2dconv,convolution2D_kernel,2dconv::convolution2dkernel,1470,9501,1470.0,9501.0,0.1758553793127703,49.17208877009109,0.1732624922032019,59.52214290664634,1.0149650803044403,0.8261142218486971,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,17.38857781513029
2mm,mm2_kernel1,2mm::mm2kernel1,1470,810,1470.0,810.0,2.7981389863280546,383.0268556527444,2.134778062313273,696.625693555271,1.3107399948151777,0.5498316516262038,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,45.01683483737962
2mm,mm2_kernel2,2mm::mm2kernel2,1470,810,1470.0,810.0,2.795168809390721,314.63107881498047,2.032619105691057,674.4752032520325,1.3751562216278634,0.4664827962510159,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,53.35172037489841
3mm,mm3_kernel1,3mm::mm3kernel1,1470,810,1470.0,810.0,0.4239959788904772,47.809100763774445,0.329816160949868,112.27612137203168,1.2855524655595167,0.4258171744761022,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,57.41828255238979
3mm,mm3_kernel2,3mm::mm3kernel2,1470,810,1470.0,810.0,0.4233430195626124,47.61098894836864,0.3275530298067474,112.24828037995414,1.292441165366048,0.4241578471154134,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,57.584215288458665
3mm,mm3_kernel3,3mm::mm3kernel3,1470,810,1470.0,810.0,0.4237827742251701,48.4911281628457,0.3288522854324235,113.16270963498847,1.288672127268077,0.4285080157523274,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,57.14919842476726
atax,atax_kernel1,atax::ataxkernel1,1890,5001,1890.0,5001.0,1.238448736998514,216.9891035165924,1.2237679882525696,296.98164464023495,1.0119963497058844,0.7306481980711437,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,26.935180192885632
atax,atax_kernel2,atax::ataxkernel2,1470,9251,1470.0,9251.0,1.4059783525442788,174.92971605285354,1.216248784046693,241.7205739299611,1.155995690179701,0.7236856722983774,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,27.631432770162256
bicg,bicg_kernel1,bicg::bicgkernel1,1470,9251,1470.0,9251.0,1.3707867324561405,160.53316885964912,1.1971323916686616,219.7598755087384,1.1450585933485813,0.7304935374941355,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,26.950646250586452
bicg,bicg_kernel2,bicg::bicgkernel2,1890,5001,1890.0,5001.0,0.6617769984118581,106.71903123345686,0.6395367694078526,134.00882465788465,1.0347755282696218,0.7963582361527551,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,20.364176384724487
