workload,kernel,kernel_id,effective_core_clock,effective_mem_clock,feature_set,model,requested_core_clock,requested_mem_clock,time_per_launch_mean_ms,energy_per_launch_mean_mJ,auto_time_per_launch_mean_ms,auto_energy_per_launch_mean_mJ,actual_time_ratio,actual_energy_ratio,pred_time_ratio,pred_energy_ratio,is_virtual_auto,pred_time_per_launch_ms,pred_energy_per_launch_mJ,global_limit,allowed_total_time_ms,auto_total_time_ms,solver_pred_objective_energy_mJ,constraint_name,constraint_limit,selected_actual_energy_saving_pct
2dconv,convolution2D_kernel,2dconv::convolution2dkernel,1470.0,9251.0,ptx,random_forest,1470,9251,0.1763533664867915,49.92395866398618,0.1732624922032019,59.52214290664634,1.0178392579045017,0.8387459897451305,1.0565124494484346,0.6556126724471268,False,0.18305398003514514,39.0234711808062,1.0,3232.870959453133,3232.870959453133,530459.5080945267,0pct,1.0,16.12540102548695
2mm,mm2_kernel1,2mm::mm2kernel1,1890.0,810.0,ptx,random_forest,1890,810,2.3044110599078342,664.5135944700461,2.134778062313273,696.625693555271,1.0794616548620255,0.9539033667831875,1.0571028232865554,0.6881909737087403,False,2.2566799167615628,479.4115143583285,1.0,3232.870959453133,3232.870959453133,530459.5080945267,0pct,1.0,4.6096633216812455
2mm,mm2_kernel2,2mm::mm2kernel2,1890.0,5001.0,ptx,random_forest,1890,5001,2.025129607128392,605.4062373430538,2.032619105691057,674.4752032520325,0.9963153457813638,0.8975959893322133,1.0224246692761216,0.8502951681981208,False,2.0781999169005054,573.5030063946488,1.0,3232.870959453133,3232.870959453133,530459.5080945267,0pct,1.0,10.24040106677867
3mm,mm3_kernel1,3mm::mm3kernel1,1890.0,810.0,ptx,random_forest,1890,810,0.3303009034162475,77.42452690498267,0.329816160949868,112.27612137203168,1.0014697353367508,0.6895903239160999,1.011932294728092,0.7283588005127296,False,0.3337516245884096,81.77730108875464,1.0,3232.870959453133,3232.870959453133,530459.5080945267,0pct,1.0,31.040967608390012
3mm,mm3_kernel2,3mm::mm3kernel2,1890.0,810.0,ptx,random_forest,1890,810,0.3304146067107512,78.12970879691676,0.3275530298067474,112.24828037995414,1.0087362248051623,0.6960437035868351,1.0156673250329522,0.7219456373882964,False,0.332684909590258,81.0371563246462,1.0,3232.870959453133,3232.870959453133,530459.5080945267,0pct,1.0,30.39562964131649
3mm,mm3_kernel3,3mm::mm3kernel3,1890.0,810.0,ptx,random_forest,1890,810,0.3298696145514644,78.87577922634532,0.3288522854324235,113.16270963498847,1.003093574726729,0.6970121118587808,1.0175992623037549,0.7198512080028231,False,0.334639843062938,81.46031323161917,1.0,3232.870959453133,3232.870959453133,530459.5080945267,0pct,1.0,30.298788814121924
atax,atax_kernel1,atax::ataxkernel1,1950.0,9251.0,ptx,random_forest,1950,9251,1.2147728377065112,287.22983479105926,1.2237679882525696,296.98164464023495,0.992649627517302,0.96716359402956,0.9981265127652632,0.9894906187077704,False,1.2214752745482989,293.8605512999173,1.0,3232.870959453133,3232.870959453133,530459.5080945267,0pct,1.0,3.283640597044002
atax,atax_kernel2,atax::ataxkernel2,1890.0,9251.0,ptx,random_forest,1890,9251,1.238557839980183,215.1503591776072,1.216248784046693,241.7205739299611,1.0183425103696826,0.8900788033042953,1.0148106423331107,0.874490134003561,False,1.2342622097752893,211.38225708742934,1.0,3232.870959453133,3232.870959453133,530459.5080945267,0pct,1.0,10.992119669570465
bicg,bicg_kernel1,bicg::bicgkernel1,1950.0,9251.0,ptx,random_forest,1950,9251,1.1864265717674969,208.82491103202847,1.1971323916686616,219.7598755087384,0.9910571128342438,0.9502413056460112,0.9965305818512958,0.9818415302220098,False,1.1929790388226047,215.7693724508981,1.0,3232.870959453133,3232.870959453133,530459.5080945267,0pct,1.0,4.975869435398883
bicg,bicg_kernel2,bicg::bicgkernel2,1890.0,9251.0,ptx,random_forest,1890,9251,0.6587816864295125,122.08260869565216,0.6395367694078526,134.00882465788465,1.030091963343216,0.9110042492150848,1.0154597791323203,0.8633604307008665,False,0.6494238666098957,115.6979165743482,1.0,3232.870959453133,3232.870959453133,530459.5080945267,0pct,1.0,8.899575078491518
correlation,corr_kernel,correlation::corrkernel,1950.0,9251.0,ptx,random_forest,1950,9251,1341.242,222262.5,1351.50475,243653.5,0.9924064269844408,0.9122072943750038,0.9961270588816188,0.9449693513006864,False,1346.2704516820374,230245.0898371418,1.0,3232.870959453133,3232.870959453133,530459.5080945267,0pct,1.0,8.779270562499619
correlation,mean_kernel,correlation::meankernel,1890.0,9251.0,ptx,random_forest,1890,9251,0.6129427555773473,86.04719293944595,0.6022942664418213,104.5072271741749,1.0176798779746556,0.8233611709555464,1.0139574201183923,0.8445466231367093,False,0.6107007405534487,88.26122580333035,1.0,3232.870959453133,3232.870959453133,530459.5080945267,0pct,1.0,17.66388290444536
correlation,reduce_kernel,correlation::reducekernel,1470.0,9251.0,ptx,random_forest,1470,9251,0.0483825089023068,10.704443412292925,0.0463599376923932,16.07854281793569,1.0436275653201637,0.6657595488287699,1.0173885297671068,0.6877146258306979,False,0.047166068848958596,11.057449057939499,1.0,3232.870959453133,3232.870959453133,530459.5080945267,0pct,1.0,33.424045117123015
correlation,std_kernel,correlation::stdkernel,1965.0,9251.0,ptx,random_forest,1965,9251,0.6071975713418336,94.61432908318154,0.604474492263056,99.23972437137331,1.0045048701204624,0.9533916955383442,0.9990630461153972,0.980406672312564,False,0.6039081275393868,97.29528793215417,1.0,3232.870959453133,3232.870959453133,530459.5080945267,0pct,1.0,4.660830446165576
covariance,covar_kernel,covariance::covarkernel,1950.0,9251.0,ptx,random_forest,1950,9251,1342.44225,226201.25,1348.81175,242987.75,0.9952776953492584,0.9309162704704248,0.9940820506719408,0.9255518753573484,False,1340.8295504104092,224897.76770136252,1.0,3232.870959453133,3232.870959453133,530459.5080945267,0pct,1.0,6.90837295295752
covariance,mean_kernel,covariance::meankernel,1950.0,9251.0,ptx,random_forest,1950,9251,0.6023283546133461,94.67007949891592,0.6037243419463898,104.34581019077515,0.99768770739218,0.9072724561324588,0.9992080641196214,0.9157096889021388,False,0.6032462309781444,95.55046938803633,1.0,3232.870959453133,3232.870959453133,530459.5080945267,0pct,1.0,9.272754386754123
covariance,reduce_kernel,covariance::reducekernel,1470.0,9251.0,ptx,random_forest,1470,9251,0.0471385864185309,10.03022503794628,0.0462931264350788,15.581790237760163,1.018263186104697,0.6437145465891021,1.0124058038473809,0.6919024597979787,False,0.04686742988111439,10.781078993562389,1.0,3232.870959453133,3232.870959453133,530459.5080945267,0pct,1.0,35.62854534108979
