constraint_name,constraint_limit,feature_set,model,workload,kernel,kernel_id,selected_requested_core_clock,selected_requested_mem_clock,selected_effective_core_clock,selected_effective_mem_clock,selected_is_auto,no_pred_feasible,selected_pred_time_ratio,selected_pred_energy_ratio,selected_actual_time_ratio,selected_actual_energy_ratio,selected_actual_slowdown_pct,selected_actual_energy_saving_pct,selected_violates_constraint,oracle_requested_core_clock,oracle_requested_mem_clock,oracle_effective_core_clock,oracle_effective_mem_clock,oracle_is_auto,oracle_actual_time_ratio,oracle_actual_energy_ratio,oracle_actual_slowdown_pct,oracle_actual_energy_saving_pct,oracle_gap_energy_saving_pp,oracle_gap_energy_ratio,auto_time_per_launch_mean_ms,auto_energy_per_launch_mean_mJ,selected_time_per_launch_ms,selected_energy_per_launch_mJ,oracle_time_per_launch_ms,oracle_energy_per_launch_mJ
0pct,1.0,ptx,random_forest,2dconv,convolution2D_kernel,2dconv::convolution2dkernel,1920,9501,1920.0,9501.0,False,False,0.9986007408959564,0.9676076343261588,1.000090111079829,0.9997019303846032,0.00901110798290361,0.0298069615396801,True,1935,9251,1935.0,9251.0,False,0.9994308438366016,0.9982528229761106,-0.05691561633983655,0.1747177023889379,0.1449107408492578,0.0014491074084925781,0.1732624922032019,59.52214290664634,0.1732781050734682,59.50440116440256,0.17316387878787867,59.41814718614719
0pct,1.0,ptx,random_forest,2mm,mm2_kernel1,2mm::mm2kernel1,1905,9501,1905.0,9501.0,False,False,0.9994568253618962,0.966167835588966,0.9958243356101468,0.9988137477055112,-0.4175664389853173,0.11862522944887655,False,1890,5001,1890.0,5001.0,False,0.9763786924983164,0.9680134767447636,-2.3621307501683564,3.198652325523643,3.0800270960747667,0.030800270960747667,2.134778062313273,696.625693555271,2.1258639455782316,695.7993197278913,2.084351813255523,674.3430596081702
0pct,1.0,ptx,random_forest,2mm,mm2_kernel2,2mm::mm2kernel2,1935,9251,1935.0,9251.0,False,False,0.9972573639612696,0.989343425913674,0.9991548805529024,1.0017783478094051,-0.0845119447097642,-0.1778347809405112,False,1890,5001,1890.0,5001.0,False,0.9963153457813638,0.8975959893322133,-0.3684654218636174,10.24040106677867,10.418235847719181,0.10418235847719182,2.032619105691057,674.4752032520325,2.0309012997562954,675.6746547522339,2.025129607128392,605.4062373430538
0pct,1.0,ptx,random_forest,3mm,mm3_kernel1,3mm::mm3kernel1,1935,810,1935.0,810.0,False,False,0.9940708243450144,0.8702322169775079,0.9865025370312368,0.8170149338590121,-1.3497462968763196,18.298506614098788,False,1935,810,1935.0,810.0,False,0.9865025370312368,0.8170149338590121,-1.3497462968763196,18.298506614098788,0.0,0.0,0.329816160949868,112.27612137203168,0.3253644795309475,91.73126787671688,0.3253644795309475,91.73126787671688
0pct,1.0,ptx,random_forest,3mm,mm3_kernel2,3mm::mm3kernel2,1935,810,1935.0,810.0,False,False,0.997778252090211,0.8889817157203818,0.990101285354561,0.8209314051623176,-0.9898714645439011,17.906859483768244,False,1920,810,1920.0,810.0,False,0.9944269938306054,0.8174208760348206,-0.5573006169394601,18.257912396517938,0.35105291274969375,0.003510529127496942,0.3275530298067474,112.24828037995414,0.3243106758334414,92.14813853936955,0.3257275747508305,91.75408768158428
0pct,1.0,ptx,random_forest,3mm,mm3_kernel3,3mm::mm3kernel3,1935,810,1935.0,810.0,False,False,0.9982631331565772,0.8845311017843537,0.9909178973644526,0.826674696976634,-0.9082102635547429,17.3325303023366,False,1935,810,1935.0,810.0,False,0.9909178973644526,0.826674696976634,-0.9082102635547429,17.3325303023366,0.0,0.0,0.3288522854324235,113.16270963498847,0.3258656152241919,93.54874869655892,0.3258656152241919,93.54874869655892
0pct,1.0,ptx,random_forest,atax,atax_kernel1,atax::ataxkernel1,1950,9251,1950.0,9251.0,False,False,0.9981265127652632,0.9894906187077704,0.992649627517302,0.96716359402956,-0.7350372482697987,3.283640597044002,False,1965,5001,1965.0,5001.0,False,0.9806231304496892,0.825618111257571,-1.9376869550310816,17.4381888742429,14.154548277198899,0.14154548277198897,1.2237679882525696,296.98164464023495,1.2147728377065112,287.22983479105926,1.2000551955843533,245.19342452603792
0pct,1.0,ptx,random_forest,atax,atax_kernel2,atax::ataxkernel2,1965,9251,1965.0,9251.0,False,False,0.9940594196714848,0.9703084537142794,0.9972474865663185,0.9824988133792668,-0.2752513433681547,1.750118662073319,False,1965,9251,1965.0,9251.0,False,0.9972474865663185,0.9824988133792668,-0.2752513433681547,1.750118662073319,0.0,0.0,1.216248784046693,241.7205739299611,1.2129010429299056,237.49017705554212,1.2129010429299056,237.49017705554212
0pct,1.0,ptx,random_forest,bicg,bicg_kernel1,bicg::bicgkernel1,1950,9251,1950.0,9251.0,False,False,0.9965305818512958,0.9818415302220098,0.9910571128342438,0.9502413056460112,-0.8942887165756197,4.975869435398883,False,1950,9251,1950.0,9251.0,False,0.9910571128342438,0.9502413056460112,-0.8942887165756197,4.975869435398883,0.0,0.0,1.1971323916686616,219.7598755087384,1.1864265717674969,208.82491103202844,1.1864265717674969,208.82491103202844
0pct,1.0,ptx,random_forest,bicg,bicg_kernel2,bicg::bicgkernel2,1965,9251,1965.0,9251.0,False,False,0.9942574812576273,0.971004460191814,0.9993301636899288,1.000357616809903,-0.06698363100712257,-0.03576168099030941,False,1950,5001,1950.0,5001.0,False,0.9990835676599982,0.8655421691601409,-0.0916432340001827,13.445783083985907,13.481544764976217,0.13481544764976217,0.6395367694078526,134.00882465788465,0.6391083844580776,134.05674846625766,0.638950677229747,115.99028878098646
0pct,1.0,ptx,random_forest,correlation,corr_kernel,correlation::corrkernel,1950,9251,1950.0,9251.0,False,False,0.9961270588816188,0.9449693513006864,0.9924064269844408,0.9122072943750038,-0.7593573015559185,8.779270562499619,False,1950,9251,1950.0,9251.0,False,0.9924064269844408,0.9122072943750038,-0.7593573015559185,8.779270562499619,0.0,0.0,1351.50475,243653.5,1341.242,222262.5,1341.242,222262.5
0pct,1.0,ptx,random_forest,correlation,mean_kernel,correlation::meankernel,1965,9251,1965.0,9251.0,False,False,0.9982874517463284,0.927375443287182,1.0016398520351026,0.895171930503959,0.16398520351026402,10.482806949604095,True,auto,auto,auto,auto,True,1.0,1.0,0.0,0.0,-10.482806949604095,-0.10482806949604095,0.6022942664418213,104.5072271741749,0.6032819399203765,93.55193630112196,0.6022942664418213,104.5072271741749
0pct,1.0,ptx,random_forest,correlation,reduce_kernel,correlation::reducekernel,1890,9251,1890.0,9251.0,False,False,0.9974851366744164,0.9508295654771592,1.013686346881329,0.970474157410206,1.3686346881329081,2.952584258979396,True,auto,auto,auto,auto,True,1.0,1.0,0.0,0.0,-2.952584258979396,-0.02952584258979396,0.0463599376923932,16.07854281793569,0.0469944358810481,15.60381029362006,0.0463599376923932,16.07854281793569
0pct,1.0,ptx,random_forest,correlation,std_kernel,correlation::stdkernel,1965,9251,1965.0,9251.0,False,False,0.9990630461153972,0.980406672312564,1.0045048701204624,0.9533916955383442,0.4504870120462412,4.660830446165576,True,auto,auto,auto,auto,True,1.0,1.0,0.0,0.0,-4.660830446165576,-0.04660830446165576,0.604474492263056,99.23972437137331,0.6071975713418336,94.61432908318154,0.604474492263056,99.23972437137331
0pct,1.0,ptx,random_forest,covariance,covar_kernel,covariance::covarkernel,1950,9251,1950.0,9251.0,False,False,0.9940820506719408,0.9255518753573484,0.9952776953492584,0.9309162704704248,-0.4722304650741638,6.90837295295752,False,1950,9251,1950.0,9251.0,False,0.9952776953492584,0.9309162704704248,-0.4722304650741638,6.90837295295752,0.0,0.0,1348.81175,242987.75,1342.44225,226201.24999999997,1342.44225,226201.24999999997
0pct,1.0,ptx,random_forest,covariance,mean_kernel,covariance::meankernel,1950,9251,1950.0,9251.0,False,False,0.9992080641196214,0.9157096889021388,0.99768770739218,0.9072724561324588,-0.23122926078199546,9.272754386754123,False,1950,9251,1950.0,9251.0,False,0.99768770739218,0.9072724561324588,-0.23122926078199546,9.272754386754123,0.0,0.0,0.6037243419463898,104.34581019077515,0.6023283546133462,94.67007949891592,0.6023283546133462,94.67007949891592
